Course Title,Rating,Level,Duration,Schedule,Review,What you will learn,Skill gain,Modules,Instructor,Offered By,Keyword,Course Url
The Business of Music Production Specialization,4.9,Beginner level,40,Flexible schedule,602,"The structure of the recording music industry and to read and interpret recording contractsHow to earn money with your recorded music by leveraging copyright lawCast a clear vision for a recording project and how to use the right tools to achieve your visionHow to record, edit, and mix a production using the industry standard digital audio workstation, Pro Tools","['Copyright', 'Pro Tools', 'Music production', 'Music recording', 'Contracts']","['Music Business Foundations', 'The Art of Music Production', 'Copyright Law in the Music Business', 'Pro Tools Basics']","['Dr. E. Michael Harrington', 'Stephen Webber', 'John P. Kellogg, Esq.', 'Chrissy Tignor']",['Berklee'],Arts and Humanities,https://www.coursera.org/specializations/business-music-production
The Singer Songwriter Specialization,4.8,Beginner level,80,Flexible schedule,448,"The basics of playing the guitar, including chords, scales, strumming and picking patterns.How to sing in your preferred genre and style healthfully, using proper breathing and vocal techniques.Basic songwriting tools and techniques to augment your songwriting.How to record, edit, and mix music productions that include MIDI and audio to create professional sounding recordings of your music.  ","['Guitar', 'Singing', 'Ableton', 'Songwriting', 'Music production']","['Guitar for Beginners', 'Singing Popular Music', 'Songwriting: Writing the Lyrics', 'Introduction to Ableton Live']","['Thaddeus Hogarth', 'Jeannie Gagne', 'Pat Pattison', 'Erin Barra']",['Berklee'],Arts and Humanities,https://www.coursera.org/specializations/singer-songwriter
"Songwriting: Writing, Arranging, and Producing Music Specialization",4.8,Beginner level,40,Flexible schedule,196,Generate lyrics that effectively convey the emotions you want to expressCreate melodies and accompaniment that support your lyricsDevelop balanced arrangements for live and recorded performancesProduce song demos using a DAW,"['Music', 'arranging', 'Songwriting', 'Producing']","['Songwriting: Writing the Lyrics', 'Songwriting: Writing the Music', 'Arranging for Songwriters', 'Introduction to Ableton Live']","['Sarah Brindell', 'Pat Pattison', 'Scarlet Keys', 'Erin Barra', 'Bonnie Hayes']",['Berklee'],Arts and Humanities,https://www.coursera.org/specializations/songwriting
Fundamentals of Graphic Design,4.8,Beginner level,15,Flexible schedule,16929,"Implement the fundamentals of color: visual, rhythm, and pattern in design Use scale, weight, direction, texture, and space in a composition Typeset text and experiment with letter formsCreate your own series of images using different image making techniques  ","['Creativity', 'Graphics', 'Design Theory', 'Color Theory']","['Course Overview', 'Week 1: Fundamentals of Imagemaking', 'Week 2: Fundamentals of Typography', 'Week 3: Fundamentals of Shape and Color', 'Week 4: Fundamentals of Composition', 'Continuing your graphic design studies']",['Michael Worthington'],['California Institute of the Arts'],Arts and Humanities,https://www.coursera.org/learn/fundamentals-of-graphic-design
Electronic Music Production Specialization,4.8,Intermediate level,40,Flexible schedule,520,"The nature of sound and how natural sound is transformed into an electronic signal that we can recordHow to record, edit, and mix live instruments and MIDI in Ableton LiveHow to create custom sounds using a synthesizer and how to integrate those custom sounds for your musical compositionsHow to record, edit, mix, and add effects to vocal tracks for your electronic music productions","['MIDI programming', 'File Management', 'Audio Recording', 'Ableton', 'Music Making', 'Sound Design', 'Create custom synthesizer patches', 'Create an electronic composition', 'Create custom patches in Strobe 2', 'Manipulate preset patches', 'Audio Editing', 'Music', 'Audio Production', 'Music Arrangement', 'Electronic Digital Instrument', 'Performance Technique', 'Live Looping']","['The Technology of Music Production', 'Introduction to Ableton Live', 'Creating Sounds for Electronic Music', 'Electronic Music Performance Techniques']","['Loudon Stearns', 'Erin Barra', 'Rishabh Rajan']",['Berklee'],Arts and Humanities,https://www.coursera.org/specializations/electronic-music-production
Introduction to Logic and Critical Thinking Specialization,4.6,Beginner level,80,Flexible schedule,556,Understand and appreciate arguments that you and other people presentDetermine whether or not an argument is deductively validAnalyze and assess five common forms of inductive arguments Recognize fallacies,"['logic', 'Critical Thinking', 'Business Communication', 'Communication', 'analysis', 'reason']","['Think Again I: How to Understand Arguments', 'Think Again II: How to Reason Deductively', 'Think Again III: How to Reason Inductively', 'Think Again IV: How to Avoid Fallacies']","['Dr. Walter  Sinnott-Armstrong', 'Dr. Ram  Neta']",['Duke University'],Arts and Humanities,https://www.coursera.org/specializations/logic-critical-thinking-duke
Finding Your Professional Voice: Confidence & Impact,4.7,Beginner level,9,Flexible schedule,310,Learners will use the embodied voice to engage and connect with an audience is a vital element in dynamic verbal exchange.  ,"['Speak with greater clarity', 'Identify current vocal behaviors connected to speaking and have techniques to address them.', 'Speak with confidence and connection', 'How to convey meaning and make messages compelling']","['Be Aware: Understanding yourself and understanding how the voice works. ', 'Be Physical: the role of the body in speaking', 'Be Connected: understanding your audience and how to connect  to them', 'Be Impactful: Using emphasis for impact']",['Emmy Broomfield'],['University of London'],Arts and Humanities,https://www.coursera.org/learn/finding-your-professional-voice
"Teaching with Art: Using Inquiry, Activities, and Themes Specialization",4.9,Intermediate level,40,Flexible schedule,36,"Learn the ways inquiry, activities, and accessible themes can support students’ creative thinking.Explore how to enhance students’ ability to make connections between classroom content and their prior knowledge and experiences. ","['Develop open-ended inquiry-based lessons', 'Develop inquiry-based lessons using open-ended questions', 'Create engaging multimodal activities to encourage active learning', 'Build lessons around themes', 'Cultivate collective meaning making using Social Emotional Learning strategies']","['Art & Inquiry: Museum Teaching Strategies For Your Classroom', 'Art & Activity: Interactive Strategies for Engaging with Art', 'Art & Ideas: Teaching with Themes']","['Francis Estrada', 'Lisa Mazzola', 'Larissa Raphael']",['The Museum of Modern Art'],Arts and Humanities,https://www.coursera.org/specializations/teaching-with-art
Write A Feature Length Screenplay For Film Or Television,4.6,Beginner level,93,Flexible schedule,196,"You will learn how to write and complete a full-length, feature film screenplay. You will have a finished script in hand at the end of the course.","['Creative Writing', 'Filmmaking', 'Script Writing', 'Film and Televison Writing', 'Screenwriting']","['Week One - Creating The Idea', 'Week Two: Logline and Dramatic Question', 'Week Three Create your character profile(s)', 'Week Four: The Three Act Story Arc', 'Week Five: Screenplay Formatting and Software', 'Week Six: Begin your screenplay', 'Week Seven: The middle section of Act One', 'Week Eight: Write the final section of Act One', 'Week Nine: Table read Act One', 'Week Ten: Begin Act Two', 'Week Eleven: Write pages 41-50', 'Week Twelve: Write pages 51-60', 'Week Thirteen: Write pages 61-70', 'Week Fourteen: Write pages 71-80', 'Week Fifteen: Table read Acts One and Two', 'Week Sixteen: Write pages 81-90', 'Week Seventeen: Write pages 91-100', 'Week Eighteen: Finish Act Three', 'Week Nineteen: Table read your entire script', 'Week Twenty: Finishing things up.']",['David Wheeler'],['Michigan State University'],Arts and Humanities,https://www.coursera.org/learn/write-a-feature-length-screenplay-for-film-or-television
Graphic Design Elements for Non-Designers Specialization,4.7,Beginner level,40,Flexible schedule,1030,"Appreciate the study of design layout and conceptual elements concerning design projects.Analyze basic design concepts to apply in the professional setting, including typography, color theory, image selection, and layout best practices.Design foundational creative projects, including business card, brochures, ads, websites and manuals.Discover techniques for working and communicating with graphic designers and other creative professionals.","['Print Design', 'textual elements and manipulation', 'online design', 'Color Theory', 'Graphic Design']","['Basic Elements of Design: Design Principles and Software Overview', 'Graphic Elements of Design: Color Theory and Image Formats', 'Textual Elements of Design: Fonts, Typography, and Spacing', 'Print and Digital Elements of Design: Branding and User Experience']",['Lori Poole'],['University of Colorado Boulder'],Arts and Humanities,https://www.coursera.org/specializations/graphic-design-elements-non-designers
Write Your First Novel,4.3,Beginner level,127,Flexible schedule,297,"You will learn how to write and complete a full-length novel of 50,000 words. You will have a finished manuscript in hand at the end of the course.","['Creative Writing', 'Story Telling', 'Novel Writing']","['Week One: Creating the idea for your novel', 'Week Two: Create your character profiles and outline Chapter One', 'Week Three: Write Chapter One', 'Week Four: Write Chapter Two', 'Week Five: Write Chapter Three', 'Week Six: Write Chapter Four', 'Week Seven: Write Chapter Five', 'Week Eight: Write Chapter Six', 'Week Nine: Write Chapter Seven', 'Week Ten: Table Read Chapters One to Seven', 'Week Eleven: Write Chapter Eight', 'Week Twelve: Write Chapter Nine', 'Week Thirteen: Write Chapter Ten', 'Week Fourteen: Write Chapter Eleven', 'Week Fifteen: Write Chapter Twelve', 'Week Sixteen: Write Chapter Thirteen', 'Week Seventeen: Write Chapter Fourteen', 'Week Eighteen: Table Read Chapters Eight to Fourteen', 'Week Nineteen: Write Chapter Fifteen', 'Week Twenty: Write Chapter Sixteen', 'Week Twenty-One: Write Chapter Seventeen', 'Week Twenty-Two: Write Chapter Eighteen', 'Week Twenty-Three: Write Chapter Nineteen', 'Week Twenty-Four: Write Chapter Twenty', 'Week Twenty-Five: Table Read Chapters Fifteen to Twenty', 'Week Twenty-Six: Submit Your Finished Novel']",['David Wheeler'],['Michigan State University'],Arts and Humanities,https://www.coursera.org/learn/write-your-first-novel
Introduction to Typography,4.8,Beginner level,8,Flexible schedule,5538,Review the terminology and measuring system used to describe typeExplore how typefaces tell stories and understand the historic evolutionConduct a peer-reviewed typesetting exerciseDesign of a full-scale typographic poster,"['Adobe Illustrator', 'Adobe Indesign', 'History', 'Creativity', 'Graphics']","['Week 1: Talking Type', 'Week 2: Typefaces and their Stories', 'Week 3: Putting Type to Work', 'Week 4: Making Meaningful Type']",['Anther Kiley'],['California Institute of the Arts'],Arts and Humanities,https://www.coursera.org/learn/typography
Developing Your Musicianship Specialization,4.9,Beginner level,40,Flexible schedule,1232,"Aurally identify musical intervals, chords, and chord progressionsWrite and practice major and minor scales in a variety of keysCompose a 12-bar blues with a melodyDefine and discuss harmonic function and modal interchange","['Music', 'Chord', 'Jazz', 'Scales', 'Music theory']","['Developing Your Musicianship', 'Musicianship: Chord Charts, Diatonic Chords, and Minor Keys', 'Musicianship: Tensions, Harmonic Function, and Modal Interchange', 'Developing Your Musicianship: Final Project']","['George W. Russell, Jr.']",['Berklee'],Arts and Humanities,https://www.coursera.org/specializations/musicianship-specialization
The Art of Music Production,4.8,Intermediate level,13,Flexible schedule,1976,"Discuss why one musical recording is more compelling than another and identify the unique elements of the recording that contribute to itBegin to assess and establish your identity, vision, and intention as an artist and producerWrite and develop a compelling piece of music by utilizing various toolsEstablish the sonic signature of your production by utilizing specific production techniques","['Music', 'Songwriting', 'Music production', 'Audio Production', 'Music recording']","['Welcome to The Art of Music Production', 'Listening Like A Producer', 'Identity, Vision, and Intention', 'Strengthening Musical Productions: Tools & Strategies', 'Defining the Sonic Signature of your Song']",['Stephen Webber'],['Berklee'],Arts and Humanities,https://www.coursera.org/learn/producing-music
Feminism and Social Justice,4.8,Beginner level,8,Flexible schedule,5966,Explain the working definition of feminism.Compose a personal definition of feminism.Discuss the role of protest in feminism and social justice.,[],"['What is feminism?', 'Salt of the Earth', 'Free Angela!', 'The #metoo Movement', 'Additional Materials (Optional)']",['Bettina Aptheker'],"['University of California, Santa Cruz']",Arts and Humanities,https://www.coursera.org/learn/feminism-social-justice
Songwriting: Writing the Lyrics,4.8,Beginner level,15,Flexible schedule,845,"Define and identify the point of view, form, and the ""who, what, where, when, and how"" in a songIdentify whether a lyric is stable or unstable through the use of line lengths, number of lines, stressed and unstressed syllables, and melodyUtilize the various rhyming techniques to evoke specific emotions in a song and define the difference between Assonance and Consonance rhymeUse phrasing to clarify your ideas","['Music', 'Songwriting', 'Music recording', 'Poetry']","['Welcome to Songwriting: Writing the Lyrics', 'The Journey of the Song', 'Stopping and Going', 'Sonic GPS—Mapping Your Song with Rhyme', 'Making It Move']",['Pat Pattison'],['Berklee'],Arts and Humanities,https://www.coursera.org/learn/songwriting-lyrics
Introduction to Imagemaking,4.5,Beginner level,11,Flexible schedule,2804,Make informed design choices using image-based researchCreate ranges of representation using imagesCompose spreads for your own bookDesign a book with your own images,"['Adobe Indesign', 'Art', 'Creativity', 'Graphics']","['Week 1: Image-based Research', 'Week 2: Making Images', 'Week 3: Composition is Relational', 'Week 4: Designing a Book with Your Images']",['Gail Swanlund'],['California Institute of the Arts'],Arts and Humanities,https://www.coursera.org/learn/image-making
The Technology of Music Production,4.8,Beginner level,17,Flexible schedule,1021,"Discuss the nature of sound, how it travels, and its propertiesSet up your Digital Audio Workstation, record audio, and utilize basic audio editing techniques such as trimming, fades, and mergingDefine the different categories of effects: Dynamic Effects, Delay Effects, and Filter Effects and use them effectively in a recording projectDiscuss the role filters play in music synthesis and define how they effect the input signal ","['Audio Editing', 'Music', 'Sound Design', 'Audio Recording', 'Audio Production']","['Welcome to The Technology of Music Production', 'Sound and Signal Flow', 'The DAW', 'The Mixer', 'Dynamic Effects', 'Filter and Delay Effects', 'Synthesis']",['Loudon Stearns'],['Berklee'],Arts and Humanities,https://www.coursera.org/learn/technology-of-music-production
Curanderismo: Traditional Healing Using Plants,4.7,Beginner level,14,Flexible schedule,211,"Students will be able to provide Information on the history,  traditions, rituals, herbs, and remedies of Curanderismo.Students will be able to analyze curative remedies of plants of the Southwest for medicinal purposes. Students will be able to explain how to use plants in water-based microdosis, alcohol-based tinctures, juice therapy, oils, and smoke.",[],"['Introduction to Curanderismo: The Art of Traditional Medicine, Interviews with Traditional Healers.', 'Plants of the Southwest, Medicinal Plants for the Digestive System.', 'Medicinal Plants for the Nervous System, Tinctures and Microdosis.', 'Juice Therapy | Jugoterapia, Geotherapy', 'Healing with Herbal Oils, Herbal Smoke for Healing.']","['Mario Del Angel-Guevara', 'Eliseo (Cheo) Torres']",['University of New Mexico'],Arts and Humanities,https://www.coursera.org/learn/curanderismo-plants
Ideas from the History of Graphic Design,4.7,Beginner level,10,Flexible schedule,2429,Learn about the history of graphic designUnderstand the emergence of design as a recognized practiceLearn about graphic design radicalism in late 1950s to early 1970sMake informed design choices,"['Art History', 'History', 'Graphic Arts', 'Graphic Design']","['Early Mass Marketing', 'The Bauhaus', 'Modernism in America ', 'Graphic Design Radicalism']","['Lorraine Wild', 'Louise Sandhaus']",['California Institute of the Arts'],Arts and Humanities,https://www.coursera.org/learn/graphic-design-history
The Language of Design: Form and Meaning,4.6,Beginner level,8,Flexible schedule,763,"Recall and explain a lexicon of key terms relating to form, meaning, and audience, and apply them successfully within an appraisal of graphic designEstablish and articulate criteria for successful outcomes in a design project that are not limited by personal taste. Employ various ways of talking about visual form, meaning, and context for a given work of design in an objective way. Develop an ability to engage with a work of design in an objective way. ","['Visual Communication', 'Graphic Design']","['Week 1: Course Orientation and Overview', 'Week 1: Audience/Context/Culture', 'Week 2: Basics of Form', 'Week 3: Meaning and Concept', 'Week 4: Synthesis: Critique and Effective Design']","['Randy Nakamura', 'Yasmin Khan Gibson']",['California Institute of the Arts'],Arts and Humanities,https://www.coursera.org/learn/design-language
Historia del Arte: Del Arte Prehistórico al Renacimiento,4.7,Beginner level,16,Flexible schedule,485,"Desarrollo de las artes visuales desde la prehistoria hasta las obras de los grandes maestros del Renacimiento. Relaciones entre los procesos artísticos y su contexto histórico, social y económico. Principales herramientas conceptuales para analizar la historia del arte.","['Sistemas de representación', 'Análisis de obras de arte', 'Períodos históricos', 'Procesos artísticos', 'Artes visuales']","['Arte Prehistórico y Arte en el Antiguo Egipto', 'Arte Prehelénico y en la Grecia Antigua', 'El arte romano antiguo y en la Edad Media', 'Renacimiento y Manierismo']",['Daniela de la Rez'],['Universidad de Palermo'],Arts and Humanities,https://www.coursera.org/learn/historia-arte-prehistorico-renacimiento
Russian History: from Lenin to Putin,4.7,Beginner level,11,Flexible schedule,752,Explain the origins and development of the Russian state and people.Apply theories of politics and society to Russian History.Evaluate the impact of a series of Soviet and Russian leaders on the word.,[],"['The 9th Century to the 1920s', 'The Great Patriotic War: Before and After', 'Reform, Stagnation, Collapse, Rebirth?']",['Peter Kenez'],"['University of California, Santa Cruz']",Arts and Humanities,https://www.coursera.org/learn/russian-history-lenin-putin
Seeing Through Photographs,4.8,Beginner level,17,Flexible schedule,4288,"Understand artists’ processes and the choices that inform a photograph’s making, including experimentation and responses to technological innovation.Learn how context influences the production, circulation, and reception of photographic images.Understand the relationship between a photograph’s subject and meaning, and the differences between photographs as objects and photographic images.Gain confidence in looking at and talking about photography, and find inspiration from photographs all around you.","['Art History', 'Art', 'History', 'Photography', 'Museums']","['Introduction to Seeing Through Photographs', 'One Subject, Many Perspectives', 'Documents and the Documentary', 'One and Another', 'Constructing Narratives, Challenging Histories', 'Pictures of People', 'Ocean of Images']","['Lucy Gallun', 'Sarah Meister']",['The Museum of Modern Art'],Arts and Humanities,https://www.coursera.org/learn/photography
Curanderismo: Traditional Healing of the Body,4.7,Beginner level,14,Flexible schedule,100,"Provide information on the traditions, rituals and remedies of Curanderismo, a healing tradition with emphasis on treatments of the body.                 Recognize the importance of traditional methods of healing intestinal blockage and shawl alignments.                 Explore different traditional hands on techniques and their impact on bodies ailments.    Demonstrate traditional healing methods for special populations such as infants and the aging community. ",[],"['INTESTINAL BLOCKAGE (EMPACHO) & SHAWL ALIGNMENTS (MANTEADAS)', 'FIRE CUPPING (VENTOSAS) & BONE SETTER (HUESERO)', 'MAYAN ABDOMINAL MASSAGE & BODY ADJUSTMENT', 'SPINAL ALIGNMENT & HYDROTHERAPY', 'TRADITIONAL HEALING OF INFANTS & TRADITIONAL HEALING FOR THE AGING COMMUNITY']","['Mario Del Angel-Guevara', 'Eliseo (Cheo) Torres']",['University of New Mexico'],Arts and Humanities,https://www.coursera.org/learn/curanderismo-traditional-healing-body
American History Through Baseball Specialization,4.1,Beginner level,40,Flexible schedule,8,"Gain a broad sense of historical change, politics, economy, society and culture, and persistent and recurring challenges. Discover some examples of how those changes played out in American history — the people and places involved and their impact. Develop your ability to think historically — examine the past on its own terms, consider context and change, and analyze historical arguments.Apply historical skills to the contemporary world, grapple with questions that matter to you, and learn about baseball. ","['Sports', 'Culture', 'America', 'Baseball', 'US History']","['Moneyball and Globalization', 'Race, Gender, and Culture', 'Baseball and Americanism', 'Baseball into the Millennium']",['Tom Zeiler'],['University of Colorado Boulder'],Arts and Humanities,https://www.coursera.org/specializations/american-history-through-baseball
Old Norse Mythology in the Sources,4.6,Beginner level,6,Flexible schedule,264,"Identify the differences in literary representation of Old Norse myths in medieval literature and the pre-Christian religionUnderstand the processes underlying the codification of Old Norse mythology, and how the literature was interpreted in ChristianityDescribe the key elements and features of Old Norse mythology and understand how Old Norse mythology came into existence as medieval literature","['Mythology', 'Poetry', 'Religion', 'Literature', 'Scandinavian History']","['Introduction', 'The Eddic Poems', 'Additional Sources', 'Final Assessment']",['Mathias Nordvig'],['University of Colorado Boulder'],Arts and Humanities,https://www.coursera.org/learn/old-norse-mythology-sources
Brand New Brand,4.9,Intermediate level,24,Flexible schedule,1190,"Synthesize typography, imagemaking, composition and systematic thinking skills through ideation, invention, and conceptualizationDemonstrate visual research and development skills through the creation of a Brand Development GuideExpand a brand identity's palette through the inclusion of graphic marks or icons, color, secondary typefaces, and/or images ","['Adobe Photoshop', 'Adobe Indesign', 'Graphics', 'Color Theory']","['Course Overview', 'Ideation: Invent Your Client', 'Visualization: Make Your Fake', 'Logotype: Brand Your Brand', 'Palette: Expand Your Brand', 'Application: Apply Your Brand', 'Publication: Display Your Brand']",['Michael Worthington'],['California Institute of the Arts'],Arts and Humanities,https://www.coursera.org/learn/brand-new-brand
"AI, Empathy & Ethics",4.2,Beginner level,4,Flexible schedule,45,Compose a personal ethical framework for AI use.Explain how various types of AI programs work.Speculate about the role of AI in the future.,[],"['Definitions and Discriminators', 'Learning', 'Perception and Empathy', 'AI and the Future']",['Kelvin Lwin'],"['University of California, Santa Cruz']",Arts and Humanities,https://www.coursera.org/learn/ai-empathy-ethics
Music for Wellness,4.6,Beginner level,10,Flexible schedule,305,"The effects music has on the brainStrategies and techniques for regulating emotions and stress by integrating music with ancient practices such as mantra and pranayamaThe scientific underpinnings that support the efficacy of ancient traditional practices used to promote wellnessHow and why music can help you to live a happier, healthier life","['Music Therapy', 'Meditation', 'Stress Management', 'breathing', 'Mental Health']","['Welcome to Music for Wellness!', 'Music For Creativity', 'Music For Comfort', 'Music for Awakening', 'Music For You']","['Annette Philip', 'Suzanne Hanser']",['Berklee'],Arts and Humanities,https://www.coursera.org/learn/music-for-wellness
Know Thyself - The Value and Limits of Self-Knowledge: The Unconscious,4.7,Intermediate level,15,Flexible schedule,727,"Gain an appreciation of the relation of methods of learning about oneself that do not depend on introspection.Become familiar with contemporary research in experimental social psychology, philosophy, and neuroscience into the emotions and the unconscious.Understand the role of affect in decision making, and self-deception.Be able to identify and analyse unconscious mechanisms motivating own and other people's actions.",[],"['Getting started', 'The Freudian Unconscious', ""Freud's legacy"", 'The Adaptive Unconscious', 'Rationality and Emotions', 'Final assessment']",['Mitchell Green'],['The University of Edinburgh'],Arts and Humanities,https://www.coursera.org/learn/know-thyself-the-unconscious
Historia del Arte: Del Barroco al Arte Posmoderno,4.7,Beginner level,14,Flexible schedule,167,"Desarrollo de las artes visuales desde el Barroco hasta el Arte Moderno. Sistemas de representación predominantes en los períodos abordados.Relaciones entre los procesos artísticos y su contexto histórico, social y económico.Principales herramientas conceptuales para analizar la historia del arte.","['Sistemas de representación', 'Análisis de obras de arte', 'Períodos históricos', 'Procesos artísticos', 'Artes visuales']","['Barroco y Rococó', 'Neoclasicismo y Romanticismo', 'Realismo e Impresionismo', 'El arte en el siglo XX']",['Daniela de la Rez'],['Universidad de Palermo'],Arts and Humanities,https://www.coursera.org/learn/historia-arte-barroco-posmoderno
